bg_pair,o_bg,d_bg,lat_dest,lon_dest,BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOOD_DISTRICT_NAME,NEIGHBORHOODS_INCLUDED,CRA_NAME,PCT_IN_VILLAGE,AREA,lon_origin,lat_origin
530330002005-530330016003,530330002005,530330016003,47.693329999999996,-122.37795,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
530330002005-530330033003,530330002005,530330033003,47.67418,-122.3778,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
530330002005-530330043011,530330002005,530330043011,47.664559999999994,-122.29786999999999,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
530330002005-530330047004,530330002005,530330047004,47.667120000000004,-122.38297,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
530330002005-530330089003,530330002005,530330089003,47.59984,-122.2974,530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5244818.105,-122.31391,47.72274
530330002006-530330007001,530330002006,530330007001,47.71744,-122.2946,530330002006,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5504641.039,-122.30468,47.72922
530330002006-530330018002,530330002006,530330018002,47.69222,-122.34438,530330002006,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1.0,5504641.039,-122.30468,47.72922
530330003001-530330026002,530330003001,530330026002,47.681779999999996,-122.31151000000001,530330003001,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,1.0,8485433.281,-122.3289,47.73007
530330003001-530330043011,530330003001,530330043011,47.664559999999994,-122.29786999999999,530330003001,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,1.0,8485433.281,-122.3289,47.73007
530330003002-530330006001,530330003002,530330006001,47.725120000000004,-122.33652,530330003002,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,0.6875,4543441.025,-122.34043,47.73138
530330003002-530330012005,530330003002,530330012005,47.7076,-122.33162,530330003002,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,0.6875,4543441.025,-122.34043,47.73138
530330003002-530330013003,530330003002,530330013003,47.70017,-122.34504,530330003002,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,0.6875,4543441.025,-122.34043,47.73138
530330003002-530330019003,530330003002,530330019003,47.69321,-122.32836999999999,530330003002,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,0.6875,4543441.025,-122.34043,47.73138
530330004011-530330001005,530330004011,530330001005,47.72293,-122.29444,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330003002,530330004011,530330003002,47.73138,-122.34043,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330004011,530330004011,530330004011,47.73015,-122.34948999999999,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330004013,530330004011,530330004013,47.7258,-122.35186999999999,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330004021,530330004011,530330004021,47.72234,-122.35564,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330004022,530330004011,530330004022,47.71487,-122.34755,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330006001,530330004011,530330006001,47.725120000000004,-122.33652,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330006004,530330004011,530330006004,47.71208,-122.33713,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330006006,530330004011,530330006006,47.71607,-122.31905,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330007001,530330004011,530330007001,47.71744,-122.2946,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330007002,530330004011,530330007002,47.71478,-122.29738,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330012003,530330004011,530330012003,47.70919,-122.32103000000001,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330012004,530330004011,530330012004,47.70752,-122.32643999999999,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330012005,530330004011,530330012005,47.7076,-122.33162,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330013003,530330004011,530330013003,47.70017,-122.34504,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330014002,530330004011,530330014002,47.70709,-122.35855,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330014003,530330004011,530330014003,47.702870000000004,-122.36431,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330017011,530330004011,530330017011,47.692190000000004,-122.35763,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330018003,530330004011,530330018003,47.695409999999995,-122.34656000000001,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330019001,530330004011,530330019001,47.699490000000004,-122.32803999999999,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330025002,530330004011,530330025002,47.67941,-122.30366000000001,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330027004,530330004011,530330027004,47.68667,-122.34151000000001,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330028001,530330004011,530330028001,47.68548,-122.3499,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330031001,530330004011,530330031001,47.68778,-122.38543999999999,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330036004,530330004011,530330036004,47.67734,-122.32611999999999,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330041004,530330004011,530330041004,47.664390000000004,-122.27873999999998,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330042005,530330004011,530330042005,47.67218,-122.29328000000001,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
530330004011-530330049002,530330004011,530330049002,47.65202,-122.34965,530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34948999999999,47.73015
