BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330070006,Outside Villages,Outside Villages,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330071001,Uptown,Urban Center,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330071002,Uptown,Urban Center,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330072001,South Lake Union,Urban Center,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330072002,Belltown,Urban Center Village,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330072003,Belltown,Urban Center Village,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330073001,South Lake Union,Urban Center,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330073002,Denny Triangle,Urban Center Village,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330073003,South Lake Union,Urban Center,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330074011,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330074012,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330074013,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330074014,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330074021,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330074022,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330074023,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330075001,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330075002,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330075003,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330075004,Pike/Pine,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330075005,Capitol Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330076001,Outside Villages,Outside Villages,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East
530330076002,Madison-Miller,Residential Urban Village,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East
530330076003,Outside Villages,Outside Villages,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East
530330077001,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330077002,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330077003,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330077004,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330078001,Outside Villages,Outside Villages,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330078002,Outside Villages,Outside Villages,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330078003,Outside Villages,Outside Villages,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330078004,Outside Villages,Outside Villages,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330079001,23rd & Union-Jackson,Residential Urban Village,"Central Area, Mann, Minor, Squire Park",5,Central
530330079002,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330079003,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330079004,Capitol Hill,Urban Center Village,"Central Area, Mann, Minor, Squire Park",5,Central
530330079005,Capitol Hill,Urban Center Village,"Central Area, Mann, Minor, Squire Park",5,Central
530330080011,Belltown,Urban Center Village,"Belltown, Denny Regrade",13,Downtown
530330080012,Belltown,Urban Center Village,"Belltown, Denny Regrade",13,Downtown
530330080013,Belltown,Urban Center Village,"Belltown, Denny Regrade",13,Downtown
530330080014,Belltown,Urban Center Village,"Belltown, Denny Regrade",13,Downtown
530330080015,Belltown,Urban Center Village,"Belltown, Denny Regrade",13,Downtown
530330080021,Belltown,Urban Center Village,"Belltown, Denny Regrade",13,Downtown
530330080022,Belltown,Urban Center Village,"Belltown, Denny Regrade",13,Downtown
530330081001,Commercial Core,Urban Center Village,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",13,Downtown
530330081002,Commercial Core,Urban Center Village,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",13,Downtown
530330081003,Commercial Core,Urban Center Village,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",13,Downtown
530330082001,Commercial Core,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330082002,First Hill,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330082003,First Hill,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330083001,First Hill,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330083002,Denny Triangle,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330084001,Pike/Pine,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330084002,First Hill,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330084003,Pike/Pine,Urban Center Village,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330085001,First Hill,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330085002,First Hill,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
